"Y"	"V2"	"V3"	"V4"	"V5"	"V6"	"V7"	"V8"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"
"1"	"yes"	0.00894579570740461	0.958065165672451	0.355987797491252	0.543032298795879	0.533676025923342	0.882012419868261	0.303051111521199	0.882163375848904	0.965633296174929	0.525247751036659	0.597907186252996	0.803056445438415	0.526228698669001	0.432467526523396
"2"	"no"	0.293739611981437	0.0770891604479402	0.609069611877203	0.604065105319023	0.00339544541202486	0.459732383489609	0.125468377955258	0.0574985286220908	0.72050658473745	0.707435756921768	0.844966345699504	0.469621181255206	0.445438689086586	0.709811215754598
"3"	"no"	0.277374957920983	0.623671092325822	0.750027300789952	0.534740282222629	0.689273345051333	0.400217351038009	0.206519453320652	0.781455864198506	0.341351398499683	0.542587141273543	0.43995356047526	0.954065796453506	0.390507315285504	0.671244577970356
"4"	"no"	0.813574214931577	0.862790538230911	0.946798097575083	0.770241185091436	0.0814002403058112	0.874826830346137	0.617489629657939	0.746663011610508	0.247568878112361	0.897654577391222	0.163342494750395	0.0554179418832064	0.614777498878539	0.326896848157048
"5"	"no"	0.260427771368995	0.0618884558789432	0.725506342248991	0.440932968631387	0.0558848225045949	0.886137603083625	0.1859917556867	0.788926061475649	0.288641332183033	0.56602718681097	0.786814349237829	0.709228215739131	0.208441802533343	0.521845593582839
"6"	"yes"	0.724405892658979	0.809864089125767	0.142147166188806	0.71862442814745	0.363162979716435	0.506208564387634	0.942530594300479	0.260278792120516	0.104031501803547	0.890811332501471	0.774253586307168	0.920486949849874	0.563553705811501	0.0831284732557833
"7"	"no"	0.906092151300982	0.10084746289067	0.180400375276804	0.254299124935642	0.299163294024765	0.383292750455439	0.476376866921782	0.0923715718090534	0.185957205947489	0.799397438298911	0.986074268585071	0.4867443384137	0.729567277012393	0.294313141144812
"8"	"yes"	0.949040221050382	0.552257341099903	0.258122368715703	0.046765653649345	0.941653809975833	0.804180938517675	0.513365853345022	0.430890034418553	0.555669663473964	0.782012703362852	0.347373929806054	0.710060822078958	0.980979420710355	0.641835894668475
"9"	"yes"	0.073144469410181	0.122948102885857	0.741827609250322	0.00506750075146556	0.14094157749787	0.125463170465082	0.936608864925802	0.407644860679284	0.660850551212206	0.143103016773239	0.0522077465429902	0.558996786130592	0.985651709837839	0.432531054131687
"10"	"no"	0.754675026983023	0.726656683953479	0.843315379228443	0.476955827558413	0.0198855972848833	0.588125113165006	0.434985548490658	0.659487214172259	0.0981653616763651	0.181957604829222	0.605988086899742	0.0816470074933022	0.936468272702768	0.196907052071765
"11"	"no"	0.28600062080659	0.64044988155365	0.807686392450705	0.434723807265982	0.714514225255698	0.0659424872137606	0.228767141932622	0.229800661560148	0.763650351669639	0.615824241889641	0.281448727007955	0.576724257320166	0.514524948084727	0.215782173210755
